user,value_score,risk_score,total_score,target_grant,min_grant,grant
snaipe,12.21,34.61,6.28,3,1,3
vaskivskyi,10.65,40.2,6.36,3,1,3
tdewolff,9.7,44.34,6.39,3,1,3
bluenote10,12.81,33.14,6.31,3,1,3
andrewannex,10.07,44.34,6.64,3,1,3
jgonggrijp,16.58,26.8,6.6,3,1,3
jeff-hykin,16.07,26.25,6.27,3,1,3
taskiq-python,12.38,35.09,6.46,3,1,3
pyeventsourcing,10.24,41.43,6.3,3,1,3
anapaulagomes,15.37,27.51,6.28,3,1,3
pyodide,12.56,35.06,6.54,3,1,3
srounet,12.09,35.67,6.41,3,1,3
ojacques,8.55,41.12,5.22,2,2,2
chekos,7.63,42.92,4.87,2,1,2
cduck,10.45,33.9,5.26,2,2,2
cyberdelia,13.3,27.01,5.34,2,1,2
remcohaszing,16.19,22.59,5.44,2,1,2
davidvujic,10.69,33.42,5.31,2,1,2
sonic182,9.89,35.52,5.22,2,2,2
kayjan,9.29,39.49,5.45,2,1,2
stared,9.35,27.13,3.77,2,2,2
noltari,8.88,39.49,5.21,2,1,2
qoomon,13.39,19.23,3.83,2,2,2
pierre-sassoulas,9.63,26.63,3.81,2,1,2
voxpupuli,8.53,30.05,3.81,2,1,2
christopherpickering,8.66,29.53,3.8,2,1,2
tbicr,6.93,36.72,3.78,2,1,2
booritas,4.13,61.28,3.76,2,1,2
davidsa03,15.89,22.08,5.21,2,1,2
cadair,6.96,36.35,3.76,2,1,2
decathorpe,14.28,24.56,5.21,2,1,2
hayao-k,13.43,26.12,5.21,2,1,2
davidteather,13.22,31.32,6.15,2,1,2
toddrob99,6.62,36.85,3.63,1,2,2
p403n1x87,11.04,29.63,4.86,2,1,2
inisis,8.9,41.19,5.45,2,1,2
frenck,8.43,13.87,1.74,1,2,2
gera2ld,3.19,36.02,1.71,1,2,2
simon-weber,19.91,20.1,5.95,2,2,2
miigotu,17.59,23.55,6.16,2,1,2
nvie,22.22,18.42,6.08,2,1,2
elden1337,4.59,35.18,2.4,1,2,2
m-lundberg,12.11,34.26,6.17,2,1,2
glentner,11.99,34.04,6.07,2,1,2
marksweb,12.98,31.33,6.04,2,1,2
mattijn,8.78,46.17,6.02,2,1,2
vc1492a,12.74,31.81,6.02,2,1,2
jsbroks,6.14,28.17,2.57,1,2,2
maciej-gol,12.14,34.39,6.2,2,1,2
joerihermans,11.44,35.14,5.97,2,1,2
radiac,8.77,47.61,6.21,2,1,2
kszucs,12.89,31.16,5.97,2,2,2
ergo-code,11.76,33.9,5.92,2,1,2
iver56,8.74,41.98,5.45,2,1,2
andreoliwa,10.5,37.86,5.91,2,1,2
awtkns,6.21,29.48,2.72,1,2,2
n8henrie,10.63,36.64,5.79,2,1,2
mandrewcito,13.51,28.29,5.68,2,1,2
dpep,13.76,27.75,5.67,2,1,2
pybamm-team,9.04,42.17,5.67,2,1,2
kokarare1212,9.27,40.71,5.61,2,1,2
djc,18.36,20.49,5.59,2,1,2
vberlier,16.81,22.18,5.54,2,1,2
sachinraja,6.95,53.09,5.48,2,1,2
ion-elgreco,10.84,33.95,5.47,2,1,2
z3z1ma,11.01,31.8,5.2,2,1,2
genthalili,7.54,48.75,5.46,2,1,2
timsavage,17.11,20.48,5.21,2,1,2
scottrogowski,10.85,37.95,6.12,2,1,2
jeremyephron,11.03,23.86,3.91,2,1,2
erdem,11.89,24.64,4.35,2,1,2
shankarpandala,7.21,41.3,4.43,2,1,2
gijzelaerr,7.85,42.21,4.92,2,1,2
guts,9.72,30.46,4.4,2,2,2
guilatrova,9.2,36.12,4.94,2,1,2
caniko,8.91,32.99,4.37,2,2,2
carla-simulator,6.7,43.85,4.37,2,2,2
alexdelorenzo,11.33,25.91,4.36,2,1,2
jasonish,8.2,35.6,4.34,2,1,2
mvexel,8.74,32.86,4.27,2,1,2
mgeier,10.43,27.88,4.32,2,1,2
hunterjm,6.81,42.65,4.32,2,1,2
jaxgaussianprocesses,7.89,36.74,4.31,2,1,2
monetdb,7.18,40.34,4.3,2,1,2
aayush9029,12.9,27.04,5.18,2,2,2
plemeri,10.08,33.08,4.96,2,1,2
tabulatejarl8,7.57,44.12,4.96,2,1,2
jteppinette,9.25,32.37,4.45,2,1,2
jakubandrysek,8.06,37.3,4.47,2,1,2
jjlawren,9.86,30.91,4.53,2,1,2
antoineaugusti,8.05,37.93,4.54,2,1,2
kitao,8.86,37.04,4.88,2,1,2
marcomusy,5.44,59.89,4.84,2,1,2
doctorjohn,10.38,31.38,4.84,2,1,2
jgosmann,11.69,27.83,4.83,2,1,2
kumaraditya303,14.02,23.11,4.82,2,1,2
open-meteo,12.03,27.32,4.88,2,1,2
bmeares,6.58,48.56,4.75,2,1,2
15r10nk,12.12,26.24,4.73,2,1,2
tpvasconcelos,6.43,49.37,4.72,2,1,2
brianpugh,7.93,39.91,4.7,2,1,2
hexdecimal,7.99,39.07,4.64,2,1,2
carreau,14.15,22.03,4.63,2,1,2
juncongmoo,6.75,45.56,4.57,2,1,2
moggers87,9.42,32.6,4.56,2,1,2
ggerganov,17.88,17.13,4.55,2,1,2
jdrouet,6.1,47.13,4.27,2,1,2
madoshakalaka,8.06,35.92,4.3,2,2,2
fmalina,9.02,30.73,4.12,2,1,2
jkbrzt,15.29,22.67,5.15,2,1,2
bitprophet,11.21,24.26,4.04,2,1,2
lesleslie,7.23,37.71,4.05,2,1,2
evhub,7.34,37.33,4.07,2,1,2
willian-zhang,10.0,34.52,5.13,2,1,2
zeehio,11.78,22.9,4.01,2,2,2
avanov,7.61,35.33,4.0,2,1,2
dsdanielpark,9.06,38.07,5.13,2,1,2
typpo,16.43,21.06,5.14,2,1,2
lyy289065406,9.27,30.02,4.14,2,1,2
rmorshea,10.01,26.79,3.99,2,1,2
jd-boyd,14.19,24.13,5.09,2,1,2
zifter,8.44,33.15,4.16,2,1,2
rbonghi,8.29,41.11,5.06,2,1,2
thewh1teagle,10.91,31.77,5.15,2,1,2
zhreshold,15.03,23.02,5.14,2,1,2
highfestiva,8.4,33.56,4.19,2,1,2
dosisod,8.37,40.26,5.01,2,1,2
saulpw,5.45,48.52,3.93,2,1,2
ap--,5.7,50.28,4.26,2,1,2
mtshiba,4.92,58.01,4.24,2,2,2
sukgu,10.51,26.95,4.21,2,1,2
erogol,15.06,23.16,5.18,2,1,2
thomas55555,7.7,34.55,3.95,2,1,2
alvarobartt,9.03,37.52,5.04,2,1,2
eieste,8.99,29.53,3.95,2,1,2
dhimmel,4.35,32.61,2.11,1,1,1
aristocratos,5.34,25.39,2.01,1,1,1
kalaspuff,3.28,45.56,2.22,1,1,1
bouzidanas,2.77,53.38,2.2,1,1,1
dubovikmaster,5.25,25.71,2.01,1,1,1
wez,10.71,8.24,1.31,1,1,1
realorangeone,2.8,30.88,1.28,1,1,1
mivek,3.55,39.92,2.11,1,1,1
techouse,3.09,46.9,2.15,1,1,1
amenezes,4.62,28.82,1.98,1,1,1
ludy87,3.62,38.63,2.08,1,1,1
felix-hilden,4.49,31.25,2.09,1,1,1
erev0s,3.93,36.06,2.11,1,1,1
eli64s,3.37,42.61,2.13,1,1,1
mikeckennedy,4.81,29.78,2.13,1,1,1
lambdalisue,6.69,16.43,1.63,1,1,1
tarsil,2.13,42.16,1.33,1,1,1
jugmac00,3.86,25.51,1.46,1,1,1
tomquirk,3.16,34.98,1.64,1,1,1
brandtbucher,4.15,26.77,1.65,1,1,1
d60,2.86,38.91,1.65,1,1,1
randovania,1.96,58.34,1.7,1,1,1
nikgapps,2.87,40.09,1.71,1,1,1
vsoch,4.56,25.3,1.71,1,1,1
seanthegeek,3.35,34.52,1.72,1,1,1
matyasrichter,2.84,40.92,1.73,1,1,1
tsukumijima,3.06,34.43,1.57,1,1,1
r4fek,5.03,23.47,1.75,1,1,1
codazoda,6.17,19.29,1.77,1,1,1
oplik0,4.85,26.17,1.89,1,1,1
rohaquinlop,2.69,35.3,1.41,1,1,1
pwoolvett,3.19,29.66,1.41,1,1,1
jeertmans,2.8,43.86,1.83,1,1,1
ikemo3,5.58,22.09,1.83,1,1,1
edsu,3.32,37.25,1.84,1,1,1
ther1d,2.81,33.51,1.4,1,1,1
dobiasd,2.65,35.45,1.4,1,1,1
hongquan,3.84,23.55,1.34,1,1,1
bclavie,3.38,37.38,1.88,1,1,1
hamano,5.79,19.04,1.64,1,1,1
asg017,2.59,34.3,1.32,1,1,1
tmm,9.81,24.98,3.64,1,1,1
tschoonj,2.65,57.78,2.28,1,1,1
alorence,6.57,32.58,3.18,1,1,1
nilcoalescing,7.61,29.48,3.33,1,1,1
nicoddemus,8.03,27.75,3.31,1,1,1
kmaork,7.06,30.8,3.23,1,1,1
whitphx,7.15,30.13,3.2,1,1,1
daijro,5.84,36.85,3.2,1,1,1
marzer,6.22,34.42,3.18,1,1,1
maxpumperla,7.88,26.87,3.15,1,1,1
dnicolodi,5.9,34.86,3.06,1,1,1
mosermichael,6.94,30.41,3.14,1,1,1
gagan3012,6.94,30.24,3.12,1,1,1
timkpaine,3.67,56.9,3.1,1,1,1
kernc,6.38,32.66,3.1,1,1,1
eggplants,7.81,26.61,3.09,1,1,1
dlech,5.29,39.26,3.09,1,1,1
emre,5.61,40.21,3.35,1,1,1
antony-jr,6.19,36.51,3.36,1,1,1
mauwii,6.61,34.25,3.36,1,1,1
jakar510,5.29,42.8,3.36,1,1,1
sinkaroid,6.59,34.42,3.37,1,1,1
cleancut,9.42,24.53,3.43,1,1,1
mill1000,3.89,59.55,3.44,1,1,1
toluaina,4.01,58.06,3.46,1,1,1
davedittrich,5.48,42.57,3.47,1,1,1
balloob,16.87,13.87,3.48,1,1,1
markusressel,9.36,25.09,3.49,1,1,1
oliviermirat,4.25,55.33,3.49,1,1,1
wagnerdelima,6.68,35.53,3.53,1,1,1
escaped,10.1,23.95,3.59,1,1,1
simonrob,8.27,30.03,3.69,1,1,1
embray,9.41,26.63,3.72,1,1,1
s0md3v,12.86,19.59,3.74,1,1,1
archivebox,5.0,41.33,3.07,1,1,1
kaste,11.2,18.32,3.05,1,1,1
yorevs,3.64,42.39,2.29,1,1,1
tulir,15.82,10.63,2.5,1,1,1
akx,5.82,30.46,2.63,1,1,1
juftin,3.77,46.73,2.62,1,1,1
abatilo,5.49,32.04,2.61,1,1,1
nearbeach,2.87,60.95,2.6,1,1,1
gottadiveintopython,4.5,37.58,2.51,1,1,1
sbidy,5.2,32.36,2.5,1,1,1
mic92,6.01,27.82,2.48,1,1,1
kamushadenes,6.68,30.68,3.05,1,1,1
krande,3.42,48.64,2.47,1,1,1
youyo,5.94,27.94,2.47,1,1,1
stumpylog,3.71,44.57,2.46,1,1,1
harupy,5.98,27.09,2.41,1,1,1
hyunwoongko,4.77,32.77,2.32,1,1,1
archinetai,4.65,33.4,2.31,1,1,1
starkillerog,6.34,28.27,2.66,1,1,1
ratoaq2,5.65,32.16,2.7,1,1,1
fayasnoushad,6.42,28.32,2.7,1,1,1
software-mansion,6.61,27.64,2.72,1,1,1
andrasmaroy,7.66,24.36,2.77,1,1,1
kdeldycke,5.12,37.07,2.82,1,1,1
njzjz,5.69,33.4,2.82,1,1,1
lensvol,8.0,23.78,2.83,1,1,1
izihawa,5.3,36.34,2.86,1,1,1
zengin-code,5.26,36.9,2.88,1,1,1
xknx,5.54,35.29,2.91,1,1,1
muety,6.89,28.44,2.91,1,1,1
gugarosa,6.75,29.1,2.92,1,1,1
reinhrst,7.69,25.92,2.96,1,1,1
tyteen4a03,3.92,50.92,2.97,1,1,1
aaliddell,6.7,29.87,2.97,1,1,1
the-compiler,17.04,11.95,3.03,1,1,1
mrmkn,2.48,34.1,1.26,1,1,1
